epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.33158430457115173,1.5979083776474,0.32829421758651733,1.592039942741394
1,0.40724441409111023,1.5557364225387573,0.38989168405532837,1.541883945465088
2,0.43009477853775024,1.4108771085739136,0.4417870044708252,1.4061195850372314
3,0.5007898807525635,1.2313929796218872,0.47608304023742676,1.2523314952850342
4,0.5308620929718018,1.1182472705841064,0.5042870044708252,1.1709100008010864
5,0.5637553334236145,1.042617917060852,0.5399368405342102,1.0964566469192505
6,0.588354766368866,0.9861802458763123,0.5647563338279724,1.0430090427398682
7,0.6103023886680603,0.9404900670051575,0.575135350227356,1.0069890022277832
8,0.6252539157867432,0.9137943983078003,0.5988267064094543,0.975214421749115
9,0.6435906291007996,0.8827744722366333,0.6173285245895386,0.9437342882156372
10,0.6490634083747864,0.8666287064552307,0.5965703725814819,0.9442474842071533
11,0.6567930579185486,0.851204514503479,0.6319946050643921,0.9158108234405518
12,0.6579778790473938,0.8480087518692017,0.6252256035804749,0.9290318489074707
13,0.6685285568237305,0.825281023979187,0.630415141582489,0.8977797031402588
14,0.6698826551437378,0.826888918876648,0.6164259910583496,0.8904706239700317
15,0.673550009727478,0.8086720705032349,0.6644855737686157,0.853283703327179
16,0.6793613433837891,0.7989993095397949,0.6177797913551331,0.8866191506385803
17,0.6812795996665955,0.7981997728347778,0.6482400894165039,0.8429051637649536
18,0.6839877963066101,0.7938917875289917,0.6383122801780701,0.8782025575637817
19,0.690363347530365,0.7808796763420105,0.6425992846488953,0.8626236915588379
20,0.6852290630340576,0.7878001928329468,0.6489169597625732,0.8601027131080627
21,0.6901940703392029,0.7848435044288635,0.6480144262313843,0.8238812685012817
22,0.6926201581954956,0.7694435715675354,0.6529783606529236,0.8414773941040039
23,0.6952155232429504,0.7669879794120789,0.6699007153511047,0.8195054531097412
24,0.6983751058578491,0.7622765898704529,0.6581678986549377,0.8456628918647766
25,0.7010268568992615,0.7506517767906189,0.6635830402374268,0.7998062372207642
26,0.700236976146698,0.7519795298576355,0.6703519821166992,0.809841513633728
27,0.7050891518592834,0.7509784698486328,0.6798285245895386,0.785675048828125
28,0.7062739729881287,0.7356367111206055,0.6897563338279724,0.7963536381721497
29,0.7050891518592834,0.7331986427307129,0.6856949329376221,0.7995702028274536
30,0.7127059102058411,0.7315530180931091,0.7132220268249512,0.7492958903312683
31,0.714737057685852,0.7269597053527832,0.6951714754104614,0.7848480343818665
32,0.7186865210533142,0.7202274799346924,0.6990072131156921,0.7659668326377869
33,0.7092078328132629,0.7229089736938477,0.7179602980613708,0.7384112477302551
34,0.71953284740448,0.7125837206840515,0.7129963636398315,0.7333806753158569
35,0.721563994884491,0.7076316475868225,0.7116426229476929,0.7570909261703491
36,0.7227488160133362,0.7102918028831482,0.7021660804748535,0.7437534928321838
37,0.7259647846221924,0.6994763612747192,0.7299187779426575,0.7103382349014282
38,0.7270932197570801,0.6988585591316223,0.7258573770523071,0.7124758362770081
39,0.7240464687347412,0.699370265007019,0.7195397019386292,0.7228220701217651
40,0.7324531674385071,0.6851158142089844,0.7145758271217346,0.7392795085906982
41,0.7312119007110596,0.6859496235847473,0.7242779731750488,0.7001996040344238
42,0.7335251569747925,0.6875438690185547,0.7475180625915527,0.6750668883323669
43,0.7309862375259399,0.6816808581352234,0.7172833681106567,0.7239972949028015
44,0.7336944341659546,0.6842036843299866,0.7375902533531189,0.7087618112564087
45,0.7344843149185181,0.6706523895263672,0.7369133830070496,0.6871893405914307
46,0.743906557559967,0.6660403609275818,0.7400721907615662,0.7025696635246277
47,0.7387722730636597,0.6714726090431213,0.7215703725814819,0.7208703756332397
