epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.1998627930879593,1.6095443964004517,0.2098061591386795,1.6091909408569336
1,0.20214955508708954,1.608715534210205,0.21094641089439392,1.6083710193634033
2,0.20512233674526215,1.6078330278396606,0.20752565562725067,1.6075693368911743
3,0.2071804255247116,1.6070555448532104,0.21892815828323364,1.6067794561386108
4,0.22227303683757782,1.606227159500122,0.2497149407863617,1.6060019731521606
5,0.23393552005290985,1.6054168939590454,0.2622576951980591,1.6052334308624268
6,0.2533729672431946,1.6046714782714844,0.26681870222091675,1.6044689416885376
7,0.26892292499542236,1.603888988494873,0.28734320402145386,1.6037124395370483
8,0.2897324562072754,1.603102684020996,0.28620296716690063,1.6029618978500366
9,0.3050537407398224,1.6023852825164795,0.3090079724788666,1.6022143363952637
10,0.3158015012741089,1.6016478538513184,0.3306727409362793,1.6014645099639893
11,0.33455294370651245,1.6008219718933105,0.33979475498199463,1.6007075309753418
12,0.3473587930202484,1.6000909805297852,0.3454959988594055,1.5999399423599243
13,0.3597072958946228,1.599304437637329,0.34777650237083435,1.599156141281128
14,0.3706837296485901,1.598583698272705,0.3580387830734253,1.5983526706695557
15,0.37548592686653137,1.5976678133010864,0.36830103397369385,1.5975277423858643
16,0.38051679730415344,1.5969548225402832,0.3705815374851227,1.596674919128418
17,0.39126458764076233,1.596039891242981,0.37514254450798035,1.5957897901535034
18,0.39721015095710754,1.5951510667800903,0.38882553577423096,1.5948691368103027
19,0.3978961706161499,1.594356656074524,0.39452680945396423,1.5939122438430786
20,0.4036130905151367,1.5933263301849365,0.4002280533313751,1.592909812927246
21,0.4010976552963257,1.592371940612793,0.3990877866744995,1.5918591022491455
22,0.40635719895362854,1.5913879871368408,0.3979475498199463,1.5907620191574097
23,0.4086439609527588,1.5902800559997559,0.40136829018592834,1.5896106958389282
24,0.4175623059272766,1.589231252670288,0.40136829018592834,1.5883996486663818
25,0.4127601087093353,1.5880862474441528,0.405929297208786,1.5871264934539795
26,0.41093072295188904,1.5868782997131348,0.40820980072021484,1.5857785940170288
27,0.41070204973220825,1.585634469985962,0.405929297208786,1.5843538045883179
28,0.41870570182800293,1.584120750427246,0.41505131125450134,1.5828386545181274
29,0.408415287733078,1.582759976387024,0.4127708077430725,1.5812236070632935
30,0.40955865383148193,1.5812833309173584,0.4104903042316437,1.5794950723648071
31,0.40452778339385986,1.57964289188385,0.4036487936973572,1.5776371955871582
32,0.4068145453929901,1.5778156518936157,0.40820980072021484,1.5756174325942993
33,0.4038417637348175,1.5763652324676514,0.4047890603542328,1.573413372039795
34,0.3951520621776581,1.5742489099502563,0.405929297208786,1.5709866285324097
35,0.3830322325229645,1.5717887878417969,0.3933865427970886,1.5683135986328125
