epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.24117647111415863,1.6138440370559692,0.34375,1.6122286319732666
1,0.21176470816135406,1.6127681732177734,0.34375,1.610617756843567
2,0.20588235557079315,1.6191743612289429,0.375,1.6098886728286743
3,0.21176470816135406,1.6140519380569458,0.375,1.6090037822723389
4,0.19411765038967133,1.6050550937652588,0.34375,1.6079399585723877
5,0.1823529452085495,1.6154742240905762,0.3125,1.6052229404449463
6,0.21764706075191498,1.6101843118667603,0.3125,1.6019245386123657
7,0.20588235557079315,1.6089425086975098,0.3125,1.598899245262146
8,0.24117647111415863,1.6002861261367798,0.3125,1.5963466167449951
9,0.24117647111415863,1.5874217748641968,0.3125,1.5934847593307495
10,0.21176470816135406,1.6051503419876099,0.3125,1.5893208980560303
11,0.2647058963775635,1.6043996810913086,0.3125,1.5859051942825317
12,0.3294117748737335,1.5734302997589111,0.3125,1.5755987167358398
13,0.2294117659330368,1.5897501707077026,0.28125,1.5675654411315918
14,0.2294117659330368,1.6078534126281738,0.3125,1.5673753023147583
15,0.28823530673980713,1.5678061246871948,0.3125,1.553579568862915
16,0.24705882370471954,1.5708621740341187,0.3125,1.543238878250122
17,0.30588236451148987,1.5599027872085571,0.28125,1.526131272315979
18,0.3117647171020508,1.5547808408737183,0.28125,1.5050172805786133
19,0.28823530673980713,1.5579049587249756,0.375,1.4977521896362305
20,0.24117647111415863,1.542955994606018,0.34375,1.4763941764831543
21,0.2764706015586853,1.5257718563079834,0.4375,1.4399757385253906
22,0.3235294222831726,1.4861310720443726,0.4375,1.406589388847351
23,0.3294117748737335,1.4863243103027344,0.46875,1.3511079549789429
24,0.33529412746429443,1.4954513311386108,0.5,1.3581246137619019
25,0.3117647171020508,1.5125271081924438,0.46875,1.335307240486145
26,0.3529411852359772,1.4652351140975952,0.5,1.301161289215088
27,0.30000001192092896,1.4737955331802368,0.53125,1.2856647968292236
28,0.34117648005485535,1.397350549697876,0.40625,1.334166407585144
29,0.38235294818878174,1.4528570175170898,0.5,1.2868387699127197
30,0.3588235378265381,1.4296913146972656,0.5,1.268647313117981
31,0.33529412746429443,1.421463966369629,0.53125,1.2508201599121094
32,0.34117648005485535,1.4542254209518433,0.5625,1.2224762439727783
33,0.364705890417099,1.39035964012146,0.5625,1.210403561592102
34,0.34117648005485535,1.3890883922576904,0.53125,1.185435175895691
35,0.3705882430076599,1.3622020483016968,0.5625,1.1634817123413086
36,0.4058823585510254,1.355991005897522,0.5625,1.1546316146850586
37,0.44117647409439087,1.3667889833450317,0.59375,1.1434228420257568
38,0.44117647409439087,1.3496997356414795,0.40625,1.2241897583007812
39,0.38823530077934265,1.3594560623168945,0.53125,1.109511137008667
40,0.4470588266849518,1.3364461660385132,0.625,1.10318922996521
41,0.44117647409439087,1.3229873180389404,0.4375,1.2407267093658447
42,0.38823530077934265,1.3495875597000122,0.46875,1.1980323791503906
43,0.4117647111415863,1.3416095972061157,0.625,1.1241488456726074
44,0.4470588266849518,1.3098688125610352,0.5625,1.0723546743392944
45,0.4176470637321472,1.3319926261901855,0.5625,1.0599303245544434
46,0.4176470637321472,1.3070659637451172,0.5625,1.0716819763183594
47,0.42941176891326904,1.257490873336792,0.625,1.0481566190719604
48,0.44117647409439087,1.2698010206222534,0.625,1.0196857452392578
49,0.42941176891326904,1.2516525983810425,0.59375,1.0168331861495972
50,0.4058823585510254,1.3425414562225342,0.5625,1.006656527519226
51,0.5117647051811218,1.1662410497665405,0.5625,1.0194787979125977
52,0.4941176474094391,1.1893060207366943,0.59375,0.9820147752761841
53,0.5176470875740051,1.1494250297546387,0.59375,1.0014275312423706
54,0.4941176474094391,1.0970450639724731,0.5625,0.9479368329048157
55,0.5235294103622437,1.1370285749435425,0.5625,1.0338473320007324
56,0.4588235318660736,1.165197730064392,0.625,0.9238911271095276
57,0.5235294103622437,1.107944130897522,0.59375,0.9242455363273621
58,0.4882352948188782,1.1714129447937012,0.625,0.9867324233055115
59,0.47647058963775635,1.1430132389068604,0.625,0.9490137100219727
60,0.5117647051811218,1.0587068796157837,0.625,0.9023913145065308
61,0.5352941155433655,1.0634156465530396,0.625,0.8929139375686646
62,0.5352941155433655,1.0658619403839111,0.59375,0.8754407167434692
63,0.5647059082984924,1.0878015756607056,0.59375,0.8887205123901367
64,0.47058823704719543,1.195519208908081,0.625,0.8494710922241211
65,0.5470588207244873,1.0961065292358398,0.625,0.8420913219451904
66,0.5058823823928833,1.0766844749450684,0.5625,0.8780297040939331
67,0.5352941155433655,1.0347161293029785,0.625,0.8355618119239807
68,0.5,1.1555882692337036,0.65625,0.8547118306159973
69,0.5352941155433655,1.1267287731170654,0.65625,0.8997608423233032
70,0.5,1.1115140914916992,0.59375,0.8373249173164368
71,0.4941176474094391,1.0742967128753662,0.65625,0.8423102498054504
72,0.5588235259056091,1.0650149583816528,0.625,0.8735593557357788
73,0.5411764979362488,1.0374011993408203,0.65625,0.8374630212783813
74,0.5,1.0349948406219482,0.65625,0.8005663156509399
75,0.5588235259056091,1.0352778434753418,0.625,0.8024742603302002
76,0.5470588207244873,1.0224138498306274,0.65625,0.789993941783905
77,0.5235294103622437,1.05066978931427,0.625,0.8146681189537048
